user_identifier,email_address,signup_dt,age,plan_type,account_status,login_count,country,last_login
U-9001,user.one@newmail.io,Jan-10-2024,unknown,Basic,ENABLED,"30+",US,2024/02/01
U-9002,user.two@newmail.io,Jan-11-2024,38,Premium,ENABLED,"40+",US,2024/02/02
U-9003,user.three@newmail.io,Jan-12-2024,,Basic,DISABLED,"1-5",CA,2024/02/03
U-9004,user.four@newmail.io,Jan-13-2024,27,Premium,ENABLED,"20+",US,2024/02/04
U-9005,user.five@newmail.io,Jan-14-2024,unknown,Enterprise,ENABLED,">100",UK,2024/02/05
U-9006,user.six@newmail.io,Jan-15-2024,45,Premium,ENABLED,"50+",US,2024/02/06
U-9007,user.seven@newmail.io,Jan-16-2024,,Basic,DISABLED,"0",CA,2024/02/07
U-9008,user.eight@newmail.io,Jan-17-2024,52,Enterprise,ENABLED,">200",UK,2024/02/08
U-9009,user.nine@newmail.io,Jan-18-2024,41,Premium,ENABLED,"60+",US,2024/02/09
U-9010,user.ten@newmail.io,Jan-19-2024,29,Basic,ENABLED,"25+",US,2024/02/10
U-9011,user.eleven@newmail.io,Jan-20-2024,unknown,Enterprise,DISABLED,"5+",UK,2024/02/11
U-9012,user.twelve@newmail.io,Jan-21-2024,33,Premium,ENABLED,"70+",US,2024/02/12
U-9013,user.thirteen@newmail.io,Jan-22-2024,,Basic,ENABLED,"15+",CA,2024/02/13
U-9014,user.fourteen@newmail.io,Jan-23-2024,39,Premium,ENABLED,"55+",US,2024/02/14
U-9015,user.fifteen@newmail.io,Jan-24-2024,48,Enterprise,ENABLED,">180",UK,2024/02/15
U-9016,user.sixteen@newmail.io,Jan-25-2024,,Basic,DISABLED,"3+",CA,2024/02/16
U-9017,user.seventeen@newmail.io,Jan-26-2024,35,Premium,ENABLED,"60+",US,2024/02/17
U-9018,user.eighteen@newmail.io,Jan-27-2024,44,Enterprise,ENABLED,">140",UK,2024/02/18
U-9019,user.nineteen@newmail.io,Jan-28-2024,31,Basic,ENABLED,"25+",US,2024/02/19
U-9020,user.twenty@newmail.io,Jan-29-2024,40,Premium,DISABLED,"10+",CA,2024/02/20
U-9021,user.twentyone@newmail.io,Jan-30-2024,46,Enterprise,ENABLED,">160",UK,2024/02/21
U-9022,user.twentytwo@newmail.io,Jan-31-2024,,Basic,ENABLED,"18+",US,2024/02/22
U-9023,user.twentythree@newmail.io,Feb-01-2024,37,Premium,ENABLED,"52+",US,2024/02/23
U-9024,user.twentyfour@newmail.io,Feb-02-2024,42,Enterprise,ENABLED,">130",UK,2024/02/24
U-9025,user.twentyfive@newmail.io,Feb-03-2024,,Basic,DISABLED,"4+",CA,2024/02/25

