user_id,email,signup_date,age,plan,status,login_count,country
USR-1001,user1@company.com,2022-01-01,29,Free,Active,12,US
USR-1002,user2@company.com,2022-01-02,35,Pro,Active,44,US
USR-1003,user3@company.com,2022-01-03,41,Free,Inactive,2,CA
USR-1004,user4@company.com,2022-01-04,23,Free,Active,30,US
USR-1005,user5@company.com,2022-01-05,51,Enterprise,Active,120,UK
USR-1006,user6@company.com,2022-01-06,33,Pro,Active,50,US
USR-1007,user7@company.com,2022-01-07,28,Free,Inactive,1,CA
USR-1008,user8@company.com,2022-01-08,45,Enterprise,Active,200,UK
USR-1009,user9@company.com,2022-01-09,38,Pro,Active,65,US
USR-1010,user10@company.com,2022-01-10,26,Free,Active,20,US
USR-1011,user11@company.com,2022-01-11,47,Enterprise,Inactive,5,UK
USR-1012,user12@company.com,2022-01-12,31,Pro,Active,70,US
USR-1013,user13@company.com,2022-01-13,22,Free,Active,15,CA
USR-1014,user14@company.com,2022-01-14,36,Pro,Active,55,US
USR-1015,user15@company.com,2022-01-15,49,Enterprise,Active,180,UK
USR-1016,user16@company.com,2022-01-16,27,Free,Inactive,3,CA
USR-1017,user17@company.com,2022-01-17,34,Pro,Active,60,US
USR-1018,user18@company.com,2022-01-18,43,Enterprise,Active,140,UK
USR-1019,user19@company.com,2022-01-19,30,Free,Active,25,US
USR-1020,user20@company.com,2022-01-20,39,Pro,Inactive,10,CA
USR-1021,user21@company.com,2022-01-21,46,Enterprise,Active,160,UK
USR-1022,user22@company.com,2022-01-22,24,Free,Active,18,US
USR-1023,user23@company.com,2022-01-23,37,Pro,Active,52,US
USR-1024,user24@company.com,2022-01-24,41,Enterprise,Active,130,UK
USR-1025,user25@company.com,2022-01-25,28,Free,Inactive,4,CA

